sequence,From,To,address_id,total_transactions,transactions_initiated,transactions_received,average_transaction_value,total_transaction_value,average_outgoing_value,average_incoming_value,total_outgoing_value,total_incoming_value,last_outgoing_transaction_value,last_incoming_transaction_value,value1,value2,value3,value4,timestamps1,timestamps2,timestamps3,timestamps4,label
42,43,539,34,1,0,1,0.003,0.003,0.0,0.003,0.0,0.003,0.0,0.003,-0.003,0.0,0.0,0.0,0,0,0,0,0
43,44,502,35,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,261,0,0,0
44,45,2066,36,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
45,46,2345,37,2,0,2,0.002957217,0.005914434,0.0,0.002957217,0.0,0.005914434,0.0,0.000914434,-0.005,-0.000914434,0.0,0.0,0,2978,0,0,0
46,47,2297,38,2,2,0,1.199878552,2.399757103,1.199878552,0.0,2.399757103,0.0,0.099662892,0.0,2.300094212,0.099662892,0.0,0.0,0,0,0,0,0
47,48,1432,39,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,238,261,265,0
48,49,1432,39,7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283,310,1078,0,0
49,50,1206,40,2,2,0,0.088049077,0.176098153,0.088049077,0.0,0.176098153,0.0,9.82e-05,0.0,0.176,9.82e-05,0.0,0.0,0,0,0,0,0
50,51,1545,41,1,0,1,0.00237728,0.00237728,0.0,0.00237728,0.0,0.00237728,0.0,0.00237728,-0.00237728,0.0,0.0,0.0,0,0,0,0,0
51,52,1491,42,1,1,0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0,0,0,0,0
52,53,1914,43,2,2,0,0.010652702,0.021305403,0.010652702,0.0,0.021305403,0.0,0.008805403,0.0,0.0125,0.008805403,0.0,0.0,0,72,0,0,0
53,54,527,44,10,1,9,0.12,1.2,0.6,0.066666667,0.6,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0,0,0,0,1
54,55,541,44,10,1,9,0.12,1.2,0.6,0.066666667,0.6,0.6,0.6,0.0,-0.6,0.0,0.0,0.0,0,0,0,0,1
55,56,1081,44,10,1,9,0.12,1.2,0.6,0.066666667,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
56,57,1081,44,10,1,9,0.12,1.2,0.6,0.066666667,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1,17,0,0,1
57,58,3603,44,10,1,9,0.12,1.2,0.6,0.066666667,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
58,59,56,45,1,1,0,0.3,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0,0,0,0,0
59,60,1106,46,1,1,0,0.102844781,0.102844781,0.102844781,0.0,0.102844781,0.0,0.102844781,0.0,0.102844781,0.0,0.0,0.0,0,0,0,0,0
60,61,1305,47,1,1,0,0.026475484,0.026475484,0.026475484,0.0,0.026475484,0.0,0.026475484,0.0,0.026475484,0.0,0.0,0.0,0,0,0,0,0
61,62,2591,48,2,2,0,0.2,0.4,0.2,0.0,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0,0,0,0,0
62,63,3104,49,1,0,1,0.00062038,0.00062038,0.0,0.00062038,0.0,0.00062038,0.0,0.00062038,-0.00062038,0.0,0.0,0.0,0,0,0,0,0
63,64,1844,50,1,1,0,8.38e-05,8.38e-05,8.38e-05,0.0,8.38e-05,0.0,8.38e-05,0.0,8.38e-05,0.0,0.0,0.0,0,0,0,0,0
64,65,79,51,1,1,0,0.9,0.9,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0,0,0,0,0
65,66,2762,52,3,3,0,0.066666667,0.2,0.066666667,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0,0,0
66,67,893,53,1,1,0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0,0,0,0,0
67,68,154,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
68,69,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
69,70,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
70,71,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
71,72,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
72,73,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
73,74,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
74,75,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
75,76,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
76,77,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
77,78,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
78,79,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
79,80,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
80,81,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
81,82,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
82,83,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
83,84,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
84,85,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
85,86,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
86,87,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
87,88,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
88,89,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
89,90,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
90,91,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
91,92,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
92,93,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
93,94,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
94,95,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
95,96,3598,54,111,0,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
96,97,3228,55,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
97,98,45,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
98,99,56,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.001,0.001,0.001,0.001,0,0,0,0,1
99,100,56,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.3,0.3,0.0,0.0,4,4,0,0,1
100,101,83,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
101,102,84,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
102,103,92,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.6,0.0,0.0,0.0,0,0,0,0,1
103,104,99,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
104,105,101,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
105,106,116,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
106,107,127,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
107,108,183,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.0562628,0.0,0.0,0.0,0,0,0,0,1
108,109,214,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
109,110,217,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.1,0.0,0.0,0.0,0,0,0,0,1
110,111,232,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.1,0.0,0.0,0.0,0,0,0,0,1
111,112,256,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
112,113,258,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
113,114,283,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.6,0.0,0.0,0.0,0,0,0,0,1
114,115,352,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
115,116,355,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.02328722,0.05982513,0.0,0.0,0,317,0,0,1
116,117,360,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
117,118,423,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
118,119,425,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.6,0.0,0.0,0.0,0,0,0,0,1
119,120,486,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
120,121,505,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
121,122,534,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.9,0.0,0.0,0.0,0,0,0,0,1
122,123,611,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
123,124,637,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
124,125,689,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
125,126,694,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
126,127,711,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
127,128,712,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
128,129,715,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.1,0.0,0.0,0.0,0,0,0,0,1
129,130,729,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
130,131,734,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,-0.3,0.0,0.0,0,0,0,0,1
131,132,736,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
132,133,753,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
133,134,838,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,1.0,0.2,2.0,2.0,0,102,208,444,1
134,135,838,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,4.0,3.033,10.0,0.0,991,1167,2275,0,1
135,136,854,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
136,137,879,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
137,138,883,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.9,0.0,0.0,0.0,0,0,0,0,1
138,139,938,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
139,140,940,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.113019,0.0,0.0,0.0,0,0,0,0,1
140,141,958,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
141,142,959,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
142,143,1063,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.111536,0.0,0.0,0.0,0,0,0,0,1
143,144,1077,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.13,0.0,0.0,0.0,0,0,0,0,1
144,145,1089,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,-0.3,0.0,0.0,0,33,0,0,1
145,146,1156,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-1.2,0.0,0.0,0.0,0,0,0,0,1
146,147,1199,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.1,0.0,0.0,0.0,0,0,0,0,1
147,148,1216,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.8,0.0,0.0,0.0,0,0,0,0,1
148,149,1233,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
149,150,1254,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
150,151,1259,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
151,152,1262,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
152,153,1266,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
153,154,1289,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
154,155,1335,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.2,0.0,0.0,0.0,0,0,0,0,1
155,156,1337,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,2.31,0.0,0.0,0.0,0,0,0,0,1
156,157,1377,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.1,0.0,0.0,0.0,0,0,0,0,1
157,158,1411,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.4,0.0,0.0,0.0,0,0,0,0,1
158,159,1413,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
159,160,1427,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
160,161,1440,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.1,0.0,0.0,0.0,0,0,0,0,1
161,162,1451,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.035761916,0.0,0.0,0.0,0,0,0,0,1
162,163,1452,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.62,0.0,0.0,0.0,0,0,0,0,1
163,164,1456,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,-0.3,0.0,0.0,0,3,0,0,1
164,165,1497,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,2.0,0.0,0.0,0.0,0,0,0,0,1
165,166,1505,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.3,0.0,0.0,0.0,0,0,0,0,1
166,167,1574,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,0.045,0.0,0.0,0.0,0,0,0,0,1
167,168,1578,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.6,0.0,0.0,0.0,0,0,0,0,1
168,169,1610,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.3,0.0,0.0,0.0,0,0,0,0,1
169,170,1635,56,190,46,144,0.514182873,97.69474578,1.060743365,0.33958716,48.79419478,48.900551,10.00992557,0.4,-0.9,0.0,0.0,0.0,0,0,0,0,1
